department_code,department_name,registered,abstentions,pct_abstention,voters,pct_voters,blank_votes,pct_blank_registered,pct_blank_voters,null_votes,pct_null_registered,pct_null_voters,valid_votes,pct_valid_registered,pct_valid_voters,votes_F-ARTHAUD-Nathalie,votes_M-ROUSSEL-Fabien,votes_M-MACRON-Emmanuel,votes_M-LASSALLE-Jean,votes_F-LE PEN-Marine,votes_M-ZEMMOUR-Eric,votes_M-MELENCHON-Jean-Luc,votes_F-HIDALGO-Anne,votes_M-JADOT-Yannick,votes_F-PECRESSE-Valerie,votes_M-POUTOU-Philippe,votes_M-DUPONT-AIGNAN-Nicolas,unemployment_rate,median_income,households_count,pct_taxed_households,pct_immigrants,crime_taux_autres_coups_et_blessures_volontaires--(victime),crime_taux_cambriolages_de_logement--(infraction),crime_taux_coups_et_blessures_volontaires--(victime),crime_taux_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_taux_destructions_et_degradations_volontaires--(infraction),crime_taux_escroqueries--(victime),crime_taux_homicides--(victime),crime_taux_tentatives_d'homicides--(victime),crime_taux_trafic_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants--(mis_en_cause),crime_taux_usage_de_stupefiants_(afd)--(mis_en_cause),crime_taux_violences_sexuelles--(victime),crime_taux_vols_avec_armes--(infraction),crime_taux_vols_d'accessoires_sur_vehicules--(vehicule),crime_taux_vols_dans_les_vehicules--(vehicule),crime_taux_vols_de_vehicules--(vehicule),crime_taux_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_taux_vols_violents_sans_arme--(infraction),crime_n_autres_coups_et_blessures_volontaires--(victime),crime_n_cambriolages_de_logement--(infraction),crime_n_coups_et_blessures_volontaires--(victime),crime_n_coups_et_blessures_volontaires_intrafamiliaux--(victime),crime_n_destructions_et_degradations_volontaires--(infraction),crime_n_escroqueries--(victime),crime_n_homicides--(victime),crime_n_tentatives_d'homicides--(victime),crime_n_trafic_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants--(mis_en_cause),crime_n_usage_de_stupefiants_(afd)--(mis_en_cause),crime_n_violences_sexuelles--(victime),crime_n_vols_avec_armes--(infraction),crime_n_vols_d'accessoires_sur_vehicules--(vehicule),crime_n_vols_dans_les_vehicules--(vehicule),crime_n_vols_de_vehicules--(vehicule),crime_n_vols_sans_violence_contre_des_personnes--(victime_entendue),crime_n_vols_violents_sans_arme--(infraction),zone
01,Ain,438109,97541,22.26,340568,77.74,5641,1.29,1.66,1903,0.43,0.56,333024,76.01,97.78,1658,5938,92206,10876,86755,27530,57832,5644,15843,17572,2172,8998,5.5,24810.0,270138.0,55.2,12.1,1.2811174,7.2987353,3.1908761,1.9097587,6.328124,5.3374925,0.013407,0.0208554,0.3202793,2.1555545,1.3362352,1.3570906,0.0506488,1.4405122,1.9678559,1.5656446,4.7952521,0.1698225,860.0,2407.0,2142.0,1282.0,4248.0,3583.0,9.0,14.0,215.0,1447.0,897.0,911.0,34.0,967.0,1321.0,1051.0,3219.0,114.0,metro
02,Aisne,373544,101089,27.06,272455,72.94,3767,1.01,1.38,2828,0.76,1.04,265860,71.17,97.58,2038,5968,58721,6468,104342,18266,41172,2983,7074,10920,2118,5790,10.5,20920.0,224492.0,45.2,4.9,1.9084478,6.2709367,4.6826421,2.7741943,8.4900239,4.7454325,0.0114164,0.043763,0.4281164,3.7693271,1.9465026,1.8323382,0.0494712,1.5887875,1.7105629,1.914156,4.9128736,0.2720918,1003.0,1683.0,2461.0,1458.0,4462.0,2494.0,6.0,23.0,225.0,1981.0,1023.0,963.0,26.0,835.0,899.0,1006.0,2582.0,143.0,metro
03,Allier,249991,58497,23.4,191494,76.6,3749,1.5,1.96,1790,0.72,0.93,185955,74.38,97.11,1359,8119,49706,7782,50315,12361,31013,3280,5982,10319,1503,4216,7.7,21500.0,160041.0,45.3,5.4,1.6013624,3.8203705,3.4327712,1.8314088,7.678174,5.6675082,0.0,0.0657276,0.4600929,3.4178331,1.9539011,1.4340558,0.0418266,0.8813468,1.5744738,0.8186069,5.0968735,0.2031579,536.0,801.0,1149.0,613.0,2570.0,1897.0,0.0,22.0,154.0,1144.0,654.0,480.0,14.0,295.0,527.0,274.0,1706.0,68.0,metro
04,Alpes-de-Haute-Provence,128075,29290,22.87,98785,77.13,1478,1.15,1.5,624,0.49,0.63,96683,75.49,97.87,505,2721,20800,4309,26010,7926,21856,1396,3957,3834,865,2504,8.2,21790.0,72855.0,47.3,8.4,1.9679505,3.7779883,4.4682646,2.500314,8.9544739,7.0283947,0.0059816,0.0358897,0.3768416,4.1871288,1.4116606,1.5791457,0.0538345,1.0826719,3.164273,1.3996973,6.190969,0.263191,329.0,497.0,747.0,418.0,1497.0,1175.0,1.0,6.0,63.0,700.0,236.0,264.0,9.0,181.0,529.0,234.0,1035.0,44.0,metro
05,Hautes-Alpes,113519,25357,22.34,88162,77.66,1395,1.23,1.58,532,0.47,0.6,86235,75.97,97.81,428,1925,20507,3871,19696,6164,19718,1459,5013,4511,801,2142,6.9,22010.0,65683.0,49.3,5.8,2.0327929,2.1304426,4.7502417,2.7174488,9.0699267,5.4207811,0.0282332,0.0070583,0.4517318,4.390268,1.8563352,1.7504606,0.0141166,0.6987726,1.7857521,0.8752303,7.0230171,0.1270496,288.0,298.0,673.0,385.0,1285.0,768.0,4.0,1.0,64.0,622.0,263.0,248.0,2.0,99.0,253.0,124.0,995.0,18.0,metro
06,Alpes-Maritimes,778582,208250,26.75,570332,73.25,7550,0.97,1.32,4007,0.51,0.7,558775,71.77,97.97,1627,8858,139707,12767,148919,78208,92345,5414,23374,31260,2989,13307,7.4,23460.0,536880.0,55.2,15.0,2.3919345,4.3832297,5.4271613,3.0352268,9.257307,6.3189778,0.0152524,0.0475516,0.8020966,4.2957924,2.8764224,1.3224724,0.1112528,0.8900222,2.9652452,2.5148509,14.5229724,0.9429569,2666.0,3458.0,6049.0,3383.0,10318.0,7043.0,17.0,53.0,894.0,4788.0,3206.0,1474.0,124.0,992.0,3305.0,2803.0,16187.0,1051.0,metro
07,Ardeche,255859,54114,21.15,201745,78.85,3311,1.29,1.64,1459,0.57,0.72,196975,76.99,97.64,1219,5710,45353,9033,49594,14199,42837,4189,8544,9553,1817,4927,8.1,21990.0,145192.0,47.3,5.5,1.7135363,3.610158,3.4330746,1.7195382,7.1002224,4.4623967,0.0150047,0.0090028,0.1680526,3.4450783,2.0376378,1.3714293,0.0540169,0.9963118,1.5034706,1.3954368,4.4864042,0.2190686,571.0,758.0,1144.0,573.0,2366.0,1487.0,5.0,3.0,56.0,1148.0,679.0,457.0,18.0,332.0,501.0,465.0,1495.0,73.0,metro
08,Ardennes,186197,49368,26.51,136829,73.49,1909,1.03,1.4,984,0.53,0.72,133936,71.93,97.89,1081,3009,31656,4084,48242,8771,22281,1741,3446,5556,1112,2957,9.4,20850.0,118500.0,43.5,5.9,2.4812503,4.7092073,5.5238694,3.0426191,8.6675349,4.6181943,0.0149698,0.0037425,0.3031392,2.9902247,1.2462388,1.6317121,0.0187123,0.7634616,1.6092573,1.4408467,4.8651966,0.3106241,663.0,678.0,1476.0,813.0,2316.0,1234.0,4.0,1.0,81.0,799.0,333.0,436.0,5.0,204.0,430.0,385.0,1300.0,83.0,metro
09,Ariege,119039,25028,21.03,94011,78.97,1532,1.29,1.63,775,0.65,0.82,91704,77.04,97.55,417,2701,18071,7532,21958,5821,23908,3208,3020,2724,723,1621,9.4,20820.0,72066.0,43.3,8.4,2.1694488,3.1072764,4.82815,2.6587013,8.8129832,5.0727763,0.0257501,0.0193126,0.6115657,3.1930166,1.2810691,1.7960718,0.0386252,0.6630659,1.9055099,0.8046917,5.7487173,0.1351882,337.0,346.0,750.0,413.0,1369.0,788.0,4.0,3.0,95.0,496.0,199.0,279.0,6.0,103.0,296.0,125.0,893.0,21.0,metro
10,Aube,205551,52384,25.48,153167,74.52,2339,1.14,1.53,1158,0.56,0.76,149670,72.81,97.72,1005,3094,38321,3787,49316,11374,22483,1720,4619,8923,1062,3966,9.6,21530.0,132991.0,47.7,8.3,2.3145469,5.4814397,5.2559503,2.9414034,7.7022978,5.2013013,0.0160732,0.0225025,0.3793285,2.0316579,0.7104373,1.6941198,0.0675076,1.4273039,1.9223598,1.2569276,6.9661433,0.3986164,720.0,919.0,1635.0,915.0,2396.0,1618.0,5.0,7.0,118.0,632.0,221.0,527.0,21.0,444.0,598.0,391.0,2167.0,124.0,metro
